"group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"PMRC",1.14351057747284,0,0,0.714350852661337,0,0,0,0.759722393330869,0,0,6.07291919704967,2.33833864199403,0,0,14.6675115550917,0,2.03387100022151,0,0,2.46474836638771,1.81503889369058,0,0,2.3019248476345,0.869543613823259,0,1.52368333885393,0,0,0,0
"ADEK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391382138064709,0,0,0,0,0,0,0,1.43427288600649,0.295961766124435,0,0,0,0,0,0,0
"LNUC",0.0733019600944129,5.03959683225342,21.2329469689199,0.121591634495547,26.2532103110435,0.318775900541919,22.667051446861,0.451726828467003,9.01627590162759,42.4822990420658,1.74458406024336,0,12.7581360147043,16.7079508475399,9.07633815416729,24.257455689311,0.261785376266135,0.762272588677711,0.194469980906584,1.70048530704268,26.7070008643042,34.7955001308101,25.9416313295086,6.65365896435305,16.3971081463815,0.49155420502279,1.68930109307718,24.6636771300448,2.49867858344145,0,11.1909285205414
"TETD",15.8039025963554,7.66526913141066,15.4118371114986,10.3048910234976,11.541266368623,9.95561658615532,4.43371723902721,17.0834873311158,17.4948017494802,31.0287380258226,12.0795883664952,10.6552404064917,15.0595431166304,25.4990528923211,18.1713135530043,33.8757485935515,16.4522040314948,28.763085679439,14.4438158546072,20.0236921548397,0.691443388072602,32.179297113456,3.99102020453978,12.5728942868418,4.64584730814141,3.10572884082581,13.5144087446174,4.9563370309181,4.94930565566287,0,0
"EMRR",13.9127120259196,34.4725363147419,19.3353164427121,14.6213940480895,23.9703224579093,23.2461195164415,11.6483458824147,19.6706500759722,17.2976267297627,6.14327363598501,21.5533423138926,12.1972799433743,14.7197380411782,20.1806790033513,17.6867451915909,22.0797289940113,19.372117843694,24.316495578819,16.2117247719397,18.2658871183461,26.2748487467589,37.7605302171448,9.44749314043402,10.5121234708642,23.2540806439592,20.9357404593797,32.0635972176217,22.3330186452679,11.2921051367065,19.9866755496336,1.21705058180955
"ADEC",0,2.37157497988396,85.5472356139091,0.440769675046357,104.315292177938,0,88.6218747540468,4.1476736068334,0,173.625572678051,0,0,0,0,0,0,3.18169918846533,84.2311210488871,0,0.917115671214032,0,145.155664079533,105.356697430781,0,0,1.76512646349093,0,98.8317205569979,24.5062707222142,0,74.3588221325101
"TCR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50767052159547,0,0,0
"EMRY",40.081511779625,79.4477618261127,42.6710431839163,43.727391555461,42.0431846285551,69.1253279713592,16.8428785056536,59.5252761693565,52.0542052054205,6.09121199500208,66.4046110019213,37.3754992668992,42.166720726565,56.9235999805722,51.3828835544953,24.8018873631359,58.7808856400652,75.9223498323,43.8794993281946,53.0016431655776,47.6231633535004,78.7913142059824,17.02419555999,32.3913710702854,66.0853146505677,60.5058539637144,98.7081815170586,52.4840689166863,22.392004228533,29.9800133244504,1.81073379244835
"EMRK",28.2065942443301,67.4204887138441,39.1322186890963,30.8690762075569,34.465265227179,48.2577670974228,11.1498806306897,41.6204673319371,36.3519036351904,5.88296543107039,45.3371022237926,25.6838060569291,29.7329441020651,43.7855165379572,36.3985388400179,20.6279111971448,40.7982440242454,51.8599451163736,32.777031327346,37.6590622492262,33.362143474503,53.937385541118,15.6522823646795,22.3067479282676,48.7938187871109,44.4409688086514,67.5057966213978,38.9131460939344,24.3140646773341,25.5385298689762,1.30610306340537
"MEFB",0,0,0,0,0,0,0.341055172232862,0,0,0,0,0,0,0,0.223646936036976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOLC",41.3862866693055,103.375259391013,63.2372551030875,43.2258260631669,78.7279241573924,69.076285525122,45.7276280924522,58.8682189643136,51.4089051408905,27.0720533111204,64.1079433783097,36.4148844734314,43.4950496578781,63.7476322308029,52.9297748620844,65.0898312261811,57.7538814716366,72.7970322187214,49.6252033095255,54.5683824372349,79.343128781331,116.59544780675,32.5829383886256,31.6240627877406,69.1411393505751,63.0976852265618,95.4951970851275,71.129336794902,40.6515784921436,88.3855207639351,2.93873189266208
